name,kind,sidocode,sido,sigungucode,sigungu,dongcode,dong,jibuncode,jibun,jibunaddr,doro,doroaddr,gyundo,wido
석봉토스트,음식,11,서울특별시,11215,광진구,1121510300,구의동,1.12E+18,77,서울특별시 광진구 구의동 77-47번지 ,서울특별시 광진구 자양로39길,"서울특별시 광진구 자양로39길 20, (구의동)",127.0883875,37.54924521
피자마루,음식,11,서울특별시,11140,중구,1114016200,신당동,1.11E+18,372,서울특별시 중구 신당동 372-95번지 ,서울특별시 중구 동호로7길,"서울특별시 중구 동호로7길 37, (신당동)",127.0108613,37.55215331
홍능갈비,음식,11,서울특별시,11500,강서구,1150010300,화곡동,1.15E+18,1086,서울특별시 강서구 화곡동 1086-3번지 ,서울특별시 강서구 화곡로18길,"서울특별시 강서구 화곡로18길 31, (화곡동)",126.836078,37.53892735
초밥왕,음식,11,서울특별시,11710,송파구,1171010200,신천동,1.17E+18,7,서울특별시 송파구 신천동 7-28번지 현대타워아파트 ,서울특별시 송파구 올림픽로,"서울특별시 송파구 올림픽로 293-19, (신천동, 현대타워아파트)",127.1024898,37.51514919
에브리돈,음식,11,서울특별시,11410,서대문구,1141011900,북가좌동,1.14E+18,307,서울특별시 서대문구 북가좌동 307-2번지 ,서울특별시 서대문구 응암로,"서울특별시 서대문구 응암로 65, (북가좌동)",126.9102883,37.57902887
대왕농산,소매,11,서울특별시,11230,동대문구,1123010300,제기동,1.12E+18,635,서울특별시 동대문구 제기동 635-18번지 ,서울특별시 동대문구 왕산로35길,"서울특별시 동대문구 왕산로35길 7, (제기동)",127.0431891,37.58007281
솔로몬피자,음식,11,서울특별시,11215,광진구,1121510900,군자동,1.12E+18,100,서울특별시 광진구 군자동 100-17번지 ,서울특별시 광진구 군자로,"서울특별시 광진구 군자로 99-2, (군자동)",127.071184,37.55210262
우리식당,음식,11,서울특별시,11215,광진구,1121510700,화양동,1.12E+18,507,서울특별시 광진구 화양동 507-3번지 ,서울특별시 광진구 광나루로26길,"서울특별시 광진구 광나루로26길 16, (화양동)",127.0768115,37.54546096
크리스피크림,음식,11,서울특별시,11230,동대문구,1123010400,전농동,1.12E+18,620,서울특별시 동대문구 전농동 620-69,서울특별시 동대문구 왕산로,서울특별시 동대문구 왕산로 200,127.0450216,37.58019578
왕실,음식,11,서울특별시,11140,중구,1114012700,명동2가,1.11E+18,105,서울특별시 중구 명동2가 105번지 ,서울특별시 중구 남대문로,"서울특별시 중구 남대문로 52-13, (명동2가)",126.9824188,37.56227361
신호건강원,소매,11,서울특별시,11500,강서구,1150010300,화곡동,1.15E+18,369,서울특별시 강서구 화곡동 369-53번지 ,서울특별시 강서구 가로공원로82길,"서울특별시 강서구 가로공원로82길 42-3, (화곡동)",126.8402851,37.53541866
Mr.피터팬,음식,11,서울특별시,11710,송파구,1171010300,풍납동,1.17E+18,399,서울특별시 송파구 풍납동 399-17번지 송주빌라 ,서울특별시 송파구 올림픽로45길,"서울특별시 송파구 올림픽로45길 22, (풍납동, 송주빌라)",127.1158734,37.52747748
제이씨코퍼레이션,소매,11,서울특별시,11560,영등포구,1156012700,양평동3가,1.16E+18,24,서울특별시 영등포구 양평동3가 24번지 삼천리아파트 ,서울특별시 영등포구 선유서로,"서울특별시 영등포구 선유서로 115, (양평동3가, 삼천리아파트)",126.8853202,37.52613916
커피빈,음식,11,서울특별시,11650,서초구,1165010800,서초동,1.17E+18,1657,서울특별시 서초구 서초동 1657-5번지 ,서울특별시 서초구 서초중앙로,"서울특별시 서초구 서초중앙로 118, (서초동)",127.014217,37.49238766
코롱식당,음식,11,서울특별시,11545,금천구,1154510100,가산동,1.15E+18,60,서울특별시 금천구 가산동 60-4번지 ,서울특별시 금천구 디지털로9길,"서울특별시 금천구 디지털로9길 56, (가산동)",126.8868594,37.48038966
고려대학교교육관쎄리오점,음식,11,서울특별시,11290,성북구,1129012500,안암동5가,1.13E+18,1,서울특별시 성북구 안암동5가 1-2번지 ,서울특별시 성북구 안암로,"서울특별시 성북구 안암로 145, (안암동5가)",127.0317018,37.58848499
전주식당,음식,11,서울특별시,11530,구로구,1153010100,신도림동,1.15E+18,406,서울특별시 구로구 신도림동 406-1번지 ,서울특별시 구로구 경인로,"서울특별시 구로구 경인로 577, (신도림동)",126.8808982,37.50406687
아구본가첨벙,음식,11,서울특별시,11290,성북구,1129013400,길음동,1.13E+18,20,서울특별시 성북구 길음동 20-1번지 ,서울특별시 성북구 동소문로,"서울특별시 성북구 동소문로 315, (길음동)",127.0287256,37.60839154
스완카페트,음식,11,서울특별시,11560,영등포구,1156013300,대림동,1.16E+18,604,서울특별시 영등포구 대림동 604-56번지 ,서울특별시 영등포구 도신로10가길,"서울특별시 영등포구 도신로10가길 11-1, (대림동)",126.8977104,37.50369334
착한짜장,음식,11,서울특별시,11200,성동구,1120011500,성수동2가,1.12E+18,289,서울특별시 성동구 성수동2가 289-272번지 ,서울특별시 성동구 아차산로7길,"서울특별시 성동구 아차산로7길 17-1, (성수동2가)",127.0546493,37.54671828
해마로숯불바베큐,음식,11,서울특별시,11200,성동구,1120011000,금호동2가,1.12E+18,478,서울특별시 성동구 금호동2가 478번지 ,서울특별시 성동구 금호산길,"서울특별시 성동구 금호산길 62, (금호동2가)",127.0195559,37.55366751
마깐바냑,음식,11,서울특별시,11680,강남구,1168010100,역삼동,1.17E+18,831,서울특별시 강남구 역삼동 831-45번지 에스케이허브젠 ,서울특별시 강남구 역삼로,"서울특별시 강남구 역삼로 109, (역삼동, 에스케이허브젠)",127.031005,37.49365287
강남김밥,음식,11,서울특별시,11680,강남구,1168010600,대치동,1.17E+18,940,서울특별시 강남구 대치동 940-8번지 ,서울특별시 강남구 도곡로,"서울특별시 강남구 도곡로 441, (대치동)",127.0585603,37.49846206
청암회관,음식,11,서울특별시,11350,노원구,1135010600,중계동,1.14E+18,364,서울특별시 노원구 중계동 364-14번지 ,서울특별시 노원구 한글비석로8길,"서울특별시 노원구 한글비석로8길 29, (중계동)",127.0784644,37.64824693
쉼터,음식,11,서울특별시,11680,강남구,1168010500,삼성동,1.17E+18,159,서울특별시 강남구 삼성동 159번지 ,서울특별시 강남구 봉은사로,"서울특별시 강남구 봉은사로 524, (삼성동)",127.0571003,37.5129394
배제현의웰빙낙지한마리수제비,음식,11,서울특별시,11680,강남구,1168010700,신사동,1.17E+18,512,서울특별시 강남구 신사동 512-13번지 ,서울특별시 강남구 강남대로152길,"서울특별시 강남구 강남대로152길 19, (신사동)",127.0209446,37.51757399
커피빈코리아선릉로93길점,음식,11,서울특별시,11680,강남구,1168010100,역삼동,1.17E+18,696,서울특별시 강남구 역삼동 696-42번지 ,서울특별시 강남구 선릉로93길,"서울특별시 강남구 선릉로93길 6, (역삼동)",127.0478832,37.50567504
프로포즈,음식,11,서울특별시,11545,금천구,1154510200,독산동,1.15E+18,162,서울특별시 금천구 독산동 162-1번지 ,서울특별시 금천구 가산로,"서울특별시 금천구 가산로 34-6, (독산동)",126.8992204,37.47171123
와라와라호프,음식,11,서울특별시,11680,강남구,1168010600,대치동,1.17E+18,604,서울특별시 강남구 대치동 604번지 ,서울특별시 강남구 남부순환로,"서울특별시 강남구 남부순환로 2933, (대치동)",127.0610261,37.49392233
가락사우나내스낵,생활서비스,11,서울특별시,11710,송파구,1171010500,석촌동,1.17E+18,256,서울특별시 송파구 석촌동 256번지 ,서울특별시 송파구 가락로,"서울특별시 송파구 가락로 71, (석촌동)",127.1040706,37.50024867
로뎀건강,소매,11,서울특별시,11230,동대문구,1123011000,이문동,1.12E+18,363,서울특별시 동대문구 이문동 363-5번지 ,서울특별시 동대문구 휘경로3길,"서울특별시 동대문구 휘경로3길 4, (이문동)",127.0624088,37.59577906
대박,음식,11,서울특별시,11560,영등포구,1156011300,당산동3가,1.16E+18,257,서울특별시 영등포구 당산동3가 257-9번지 ,서울특별시 영등포구 당산로30길,"서울특별시 영등포구 당산로30길 6-1, (당산동3가)",126.897322,37.52548594
하이,음식,11,서울특별시,11560,영등포구,1156010800,영등포동7가,1.16E+18,57,서울특별시 영등포구 영등포동7가 57번지 ,서울특별시 영등포구 국회대로44길,"서울특별시 영등포구 국회대로44길 10, (영등포동7가)",126.9032719,37.52477546
동화장,음식,11,서울특별시,11590,동작구,1159010800,대방동,1.16E+18,407,서울특별시 동작구 대방동 407-38번지 ,서울특별시 동작구 여의대방로24길,"서울특별시 동작구 여의대방로24길 137, (대방동)",126.9276554,37.49922947
우림,음식,11,서울특별시,11590,동작구,1159010700,사당동,1.16E+18,1033,서울특별시 동작구 사당동 1033-34번지 ,서울특별시 동작구 동작대로7길,"서울특별시 동작구 동작대로7길 28, (사당동)",126.9802422,37.47940343
포마토김밥,음식,11,서울특별시,11590,동작구,1159010100,노량진동,1.16E+18,126,서울특별시 동작구 노량진동 126-6번지 ,서울특별시 동작구 만양로14가길,"서울특별시 동작구 만양로14가길 22, (노량진동)",126.945099,37.51256887
샘터,음식,11,서울특별시,11215,광진구,1121510900,군자동,1.12E+18,477,서울특별시 광진구 군자동 477-1번지 ,서울특별시 광진구 능동로35길,"서울특별시 광진구 능동로35길 7, (군자동)",127.0785189,37.55660227
파스쿠찌,음식,11,서울특별시,11530,구로구,1153010100,신도림동,1.15E+18,692,서울특별시 구로구 신도림동 692번지 디큐브시티 ,서울특별시 구로구 경인로,"서울특별시 구로구 경인로 662, (신도림동, 디큐브시티)",126.8884846,37.50805804
산울FNC,음식,11,서울특별시,11680,강남구,1168011800,도곡동,1.17E+18,467,서울특별시 강남구 도곡동 467-17번지 타워팰리스 ,서울특별시 강남구 언주로30길,"서울특별시 강남구 언주로30길 57, (도곡동, 타워팰리스)",127.0541634,37.48929922
미야꼬,음식,11,서울특별시,11200,성동구,1120011500,성수동2가,1.12E+18,277,서울특별시 성동구 성수동2가 277-20번지 ,서울특별시 성동구 성수이로,"서울특별시 성동구 성수이로 126, (성수동2가)",127.0577465,37.54610329
롯데리아,음식,11,서울특별시,11620,관악구,1162010200,신림동,1.16E+18,1640,서울특별시 관악구 신림동 1640-9번지 ,서울특별시 관악구 남부순환로,"서울특별시 관악구 남부순환로 1610, (신림동)",126.9292879,37.48389942
"놀부숯불애장닭&부대찌개,철판구이",음식,11,서울특별시,11740,강동구,1174010800,성내동,1.17E+18,50,서울특별시 강동구 성내동 50-14번지 ,서울특별시 강동구 천호옛길,"서울특별시 강동구 천호옛길 99, (성내동)",127.1261312,37.53750149
고향산천궁중전골묵은지삽겹살,음식,11,서울특별시,11200,성동구,1120010400,도선동,1.12E+18,68,서울특별시 성동구 도선동 68번지 ,서울특별시 성동구 무학로2길,"서울특별시 성동구 무학로2길 46, (도선동)",127.0345405,37.56244103
김밥사랑,음식,11,서울특별시,11470,양천구,1147010300,신월동,1.15E+18,159,서울특별시 양천구 신월동 159-47번지 ,서울특별시 양천구 남부순환로40길,"서울특별시 양천구 남부순환로40길 22, (신월동)",126.8275797,37.53462644
엠비씨노래광장,음식,11,서울특별시,11110,종로구,1111013500,관철동,1.11E+18,19,서울특별시 종로구 관철동 19-16번지 ,서울특별시 종로구 삼일대로17길,"서울특별시 종로구 삼일대로17길 46, (관철동)",126.9849152,37.56932323
JBar,음식,11,서울특별시,11650,서초구,1165010800,서초동,1.17E+18,1451,서울특별시 서초구 서초동 1451-1번지 ,서울특별시 서초구 반포대로,"서울특별시 서초구 반포대로 32, (서초동)",127.0121072,37.48343156
내바디스타일,소매,11,서울특별시,11380,은평구,1138011400,진관동,1.14E+18,6,서울특별시 은평구 진관동 6번지 은평뉴타운상림마을7단지 ,서울특별시 은평구 진관4로,"서울특별시 은평구 진관4로 77, (진관동, 은평뉴타운상림마을7단지)",126.9280605,37.64705723
원일보신탕,음식,11,서울특별시,11560,영등포구,1156013300,대림동,1.16E+18,1081,서울특별시 영등포구 대림동 1081-54번지 ,서울특별시 영등포구 디지털로,"서울특별시 영등포구 디지털로 352, (대림동)",126.8996569,37.48897037
소노야코엑스점,음식,11,서울특별시,11680,강남구,1168010500,삼성동,1.17E+18,159,서울특별시 강남구 삼성동 159번지 ,서울특별시 강남구 영동대로,"서울특별시 강남구 영동대로 513, (삼성동)",127.0591391,37.51182033
우리집김밥,음식,11,서울특별시,11305,강북구,1130510100,미아동,1.13E+18,484,서울특별시 강북구 미아동 484-1번지 ,서울특별시 강북구 숭인로,"서울특별시 강북구 숭인로 69, (미아동)",127.0294203,37.61245193
김반장,음식,11,서울특별시,11680,강남구,1168010100,역삼동,1.17E+18,681,서울특별시 강남구 역삼동 681-30번지 ,서울특별시 강남구 봉은사로48길,"서울특별시 강남구 봉은사로48길 10, (역삼동)",127.0415318,37.50881341
GIA보석교육원,학문/교육,11,서울특별시,11680,강남구,1168010700,신사동,1.17E+18,639,서울특별시 강남구 신사동 639-3번지 ,서울특별시 강남구 압구정로,"서울특별시 강남구 압구정로 320, (신사동)",127.0364372,37.52853205
두인토탈인테리어,소매,11,서울특별시,11680,강남구,1168010800,논현동,1.17E+18,22,서울특별시 강남구 논현동 22번지 신동아 ,서울특별시 강남구 강남대로146길,"서울특별시 강남구 강남대로146길 28, (논현동, 신동아)",127.0228892,37.51505814
커피빈,음식,11,서울특별시,11110,종로구,1111017200,명륜4가,1.11E+18,51,서울특별시 종로구 명륜4가 51번지 ,서울특별시 종로구 대명길,"서울특별시 종로구 대명길 25, (명륜4가)",127.0001708,37.58314925
씨지브이영등포골드클래스,음식,11,서울특별시,11560,영등포구,1156010500,영등포동4가,1.16E+18,442,서울특별시 영등포구 영등포동4가 442번지 ,서울특별시 영등포구 영중로,"서울특별시 영등포구 영중로 15, (영등포동4가)",126.9039142,37.51721267
행운노래연습장,관광/여가/오락,11,서울특별시,11230,동대문구,1123010600,장안동,1.12E+18,432,서울특별시 동대문구 장안동 432-3번지 ,서울특별시 동대문구 장한로,"서울특별시 동대문구 장한로 9, (장안동)",127.0647963,37.56244129
선경바둑,관광/여가/오락,11,서울특별시,11680,강남구,1168010700,신사동,1.17E+18,638,서울특별시 강남구 신사동 638-5번지 ,서울특별시 강남구 압구정로,"서울특별시 강남구 압구정로 310, (신사동)",127.0352801,37.52877489
배스킨라빈스,음식,11,서울특별시,11620,관악구,1162010100,봉천동,1.16E+18,863,서울특별시 관악구 봉천동 863-13번지 ,서울특별시 관악구 관악로,"서울특별시 관악구 관악로 161, (봉천동)",126.9521656,37.47959928
청운,음식,11,서울특별시,11110,종로구,1111010100,청운동,1.11E+18,72,서울특별시 종로구 청운동 72번지 ,서울특별시 종로구 자하문로,"서울특별시 종로구 자하문로 116, (청운동)",126.970102,37.58624259
